S.NO,Study-hours,part_time_job,social_media_usage,Residence,chosen_field,Satisfied_with_educational_system_and_job_market,family_responsibilities,CGPA
79,Less than 1 hour,No,More than 6 hours,Day-scholar,Disagree,Neutral,Yes ,1
80,Less than 1 hour,Yes,Less than 2 hours,Day-scholar,Strongly agree,Agree,No,3.6
82,less than 4 hours,No,Less than 2 hours,Hostelite,Strongly agree,Strongly agree,Yes ,3.5
83,Less than 2 hours,No,Less than 2 hours,Hostelite,Strongly agree,Disagree,Yes ,2.95
84,Less than 3 hours,No,Less than 2 hours,Day-scholar,Agree,Neutral,No,3
85,Less than 1 hour,No,More than 6 hours,Hostelite,Strongly disagree,Strongly disagree,No,4
87,Less than 3 hours,No,Less than 2 hours,Day-scholar,Neutral,Neutral,No,3.1
88,More than 4 hours ,No,More than 6 hours,Hostelite,Neutral,Agree,No,2.3
89,less than 4 hours,No,Less than 3 hours,Day-scholar,Neutral,Disagree,Yes ,2
90,Less than 3 hours,No,Less than 5 hours,Hostelite,Neutral,Strongly disagree,Yes ,3
93,Less than 3 hours,Yes,Less than 4 hours,Day-scholar,Agree,Agree,No,2.6
94,Less than 3 hours,No,Less than 2 hours,Day-scholar,Agree,Neutral,No,1
96,Less than 1 hour,Yes,Less than 2 hours,Hostelite,Strongly agree,Disagree,No,3.5
97,Less than 1 hour,No,Less than 2 hours,Day-scholar,Neutral,Neutral,Yes ,2.8
98,Less than 2 hours,No,More than 6 hours,Hostelite,Agree,Disagree,Yes ,3.22
99,Less than 3 hours,No,Less than 4 hours,Day-scholar,Agree,Neutral,No,3.3
100,less than 4 hours,Yes,Less than 3 hours,Hostelite,Strongly agree,Neutral,Yes ,3.81
101,less than 4 hours,No,Less than 3 hours,Day-scholar,Agree,Agree,Yes ,3.65
102,less than 4 hours,No,Less than 4 hours,Day-scholar,Strongly agree,Agree,Yes ,3.1
103,More than 4 hours ,Yes,Less than 2 hours,Hostelite,Disagree,Strongly disagree,Yes ,3.5
104,Less than 1 hour,Yes,Less than 6 hours,Day-scholar,Neutral,Disagree,No,3
105,More than 4 hours ,No,Less than 4 hours,Hostelite,Strongly agree,Agree,No,3.9
106,Less than 1 hour,Yes,Less than 5 hours,Day-scholar,Neutral,Disagree,Yes ,3.5
107,less than 4 hours,No,Less than 3 hours,Day-scholar,Strongly agree,Strongly agree,Yes ,3.48
108,More than 4 hours ,Yes,Less than 6 hours,Day-scholar,Agree,Neutral,No,3.37
109,Less than 3 hours,No,Less than 6 hours,Day-scholar,Agree,Agree,Yes ,3
110,Less than 1 hour,No,Less than 2 hours,Day-scholar,Neutral,Neutral,Yes ,3
111,More than 4 hours ,Yes,Less than 2 hours,Hostelite,Strongly agree,Agree,Yes ,3.69
112,Less than 1 hour,No,Less than 4 hours,Day-scholar,Strongly agree,Neutral,No,3.5
113,More than 4 hours ,No,Less than 4 hours,Day-scholar,Strongly agree,Agree,Yes ,3.54
114,Less than 2 hours,No,More than 6 hours,Day-scholar,Disagree,Agree,No,3
115,More than 4 hours ,Yes,More than 6 hours,Day-scholar,Neutral,Agree,No,3.4
116,Less than 1 hour,No,More than 6 hours,Day-scholar,Agree,Disagree,No,3.95
117,More than 4 hours ,No,Less than 3 hours,Day-scholar,Neutral,Disagree,No,3
118,Less than 3 hours,Yes,Less than 3 hours,Day-scholar,Agree,Strongly agree,Yes ,3.5
119,Less than 1 hour,Yes,Less than 5 hours,Day-scholar,Strongly agree,Disagree,No,2.9
120,less than 4 hours,No,Less than 5 hours,Hostelite,Strongly agree,Strongly disagree,Yes ,3.2
121,More than 4 hours ,Yes,Less than 2 hours,Day-scholar,Neutral,Agree,No,3.5
122,Less than 1 hour,No,More than 6 hours,Day-scholar,Disagree,Disagree,No,3.3
123,More than 4 hours ,Yes,Less than 2 hours,Day-scholar,Strongly agree,Strongly agree,Yes ,3.53
124,Less than 2 hours,Yes,More than 6 hours,Day-scholar,Agree,Neutral,No,3.5
125,More than 4 hours ,Yes,Less than 3 hours,Day-scholar,Strongly agree,Agree,No,3.72
127,More than 4 hours ,No,Less than 4 hours,Hostelite,Strongly agree,Agree,Yes ,3.4
128,Less than 2 hours,Yes,Less than 5 hours,Day-scholar,Strongly agree,Disagree,Yes ,3
129,Less than 3 hours,No,Less than 2 hours,Day-scholar,Agree,Agree,Yes ,3
130,More than 4 hours ,No,Less than 4 hours,Day-scholar,Agree,Strongly agree,No,3.52
131,Less than 3 hours,Yes,Less than 3 hours,Day-scholar,Agree,Disagree,Yes ,3.7
132,More than 4 hours ,No,Less than 2 hours,Day-scholar,Strongly agree,Agree,No,3.46
133,Less than 2 hours,No,Less than 3 hours,Day-scholar,Agree,Agree,Yes ,3.62
134,More than 4 hours ,Yes,Less than 2 hours,Hostelite,Strongly agree,Agree,Yes ,3.5
136,Less than 1 hour,Yes,More than 6 hours,Day-scholar,Agree,Strongly disagree,Yes ,3.3
137,Less than 1 hour,Yes,Less than 2 hours,Hostelite,Strongly agree,Neutral,No,3
138,Less than 1 hour,No,Less than 6 hours,Day-scholar,Agree,Agree,No,3.5
139,More than 4 hours ,No,Less than 3 hours,Day-scholar,Agree,Neutral,No,3.63
140,Less than 3 hours,Yes,Less than 5 hours,Day-scholar,Agree,Agree,Yes ,2.8
141,Less than 2 hours,No,Less than 3 hours,Day-scholar,Agree,Agree,No,3.8
142,less than 4 hours,No,Less than 4 hours,Day-scholar,Strongly agree,Strongly disagree,Yes ,3.9
143,Less than 3 hours,Yes,Less than 2 hours,Day-scholar,Neutral,Agree,Yes ,3.78
144,Less than 1 hour,No,Less than 3 hours,Hostelite,Neutral,Disagree,Yes ,3
145,Less than 2 hours,No,Less than 4 hours,Hostelite,Agree,Disagree,No,3.1
146,Less than 3 hours,Yes,Less than 5 hours,Day-scholar,Agree,Neutral,No,3.4
